corruption,lambda,step,n_steps,online_acc,cat_pct,H_pbar
gaussian_noise,1.0688,50,782,0.2225,0.029,5.486
gaussian_noise,1.0688,100,782,0.2445,0.016,5.286
gaussian_noise,1.0688,150,782,0.2561,0.012,5.011
gaussian_noise,1.0688,200,782,0.2560,0.009,5.129
gaussian_noise,1.0688,250,782,0.2628,0.008,4.950
gaussian_noise,1.0688,300,782,0.2657,0.007,5.037
gaussian_noise,1.0688,350,782,0.2677,0.007,4.931
gaussian_noise,1.0688,400,782,0.2698,0.006,4.785
gaussian_noise,1.0688,450,782,0.2712,0.006,4.759
gaussian_noise,1.0688,500,782,0.2726,0.005,4.686
gaussian_noise,1.0688,550,782,0.2736,0.005,4.794
gaussian_noise,1.0688,600,782,0.2748,0.005,4.726
gaussian_noise,1.0688,650,782,0.2767,0.004,4.686
gaussian_noise,1.0688,700,782,0.2769,0.004,4.718
gaussian_noise,1.0688,750,782,0.2776,0.004,4.692
gaussian_noise,1.0688,782,782,0.2775,0.004,3.667
shot_noise,1.0609,50,782,0.2309,0.020,5.382
shot_noise,1.0609,100,782,0.2545,0.012,5.256
shot_noise,1.0609,150,782,0.2643,0.009,5.138
shot_noise,1.0609,200,782,0.2698,0.008,5.122
shot_noise,1.0609,250,782,0.2780,0.007,4.831
shot_noise,1.0609,300,782,0.2845,0.007,4.886
shot_noise,1.0609,350,782,0.2871,0.006,4.979
shot_noise,1.0609,400,782,0.2880,0.006,4.745
shot_noise,1.0609,450,782,0.2897,0.005,4.720
shot_noise,1.0609,500,782,0.2893,0.005,4.822
shot_noise,1.0609,550,782,0.2914,0.005,4.891
shot_noise,1.0609,600,782,0.2935,0.005,4.787
shot_noise,1.0609,650,782,0.2959,0.004,4.752
shot_noise,1.0609,700,782,0.2961,0.004,4.682
shot_noise,1.0609,750,782,0.2966,0.004,4.714
shot_noise,1.0609,782,782,0.2969,0.004,3.242
impulse_noise,1.3344,50,782,0.2288,0.020,5.622
impulse_noise,1.3344,100,782,0.2552,0.011,5.363
impulse_noise,1.3344,150,782,0.2671,0.008,5.236
impulse_noise,1.3344,200,782,0.2738,0.007,5.279
impulse_noise,1.3344,250,782,0.2801,0.006,5.174
impulse_noise,1.3344,300,782,0.2849,0.005,5.143
impulse_noise,1.3344,350,782,0.2875,0.005,5.139
impulse_noise,1.3344,400,782,0.2885,0.005,5.056
impulse_noise,1.3344,450,782,0.2893,0.004,5.156
impulse_noise,1.3344,500,782,0.2902,0.004,5.000
impulse_noise,1.3344,550,782,0.2915,0.004,5.063
impulse_noise,1.3344,600,782,0.2929,0.004,5.004
impulse_noise,1.3344,650,782,0.2932,0.004,5.075
impulse_noise,1.3344,700,782,0.2939,0.003,5.073
impulse_noise,1.3344,750,782,0.2946,0.003,5.044
impulse_noise,1.3344,782,782,0.2942,0.003,3.831
defocus_blur,3.9090,50,782,0.2594,0.007,6.475
defocus_blur,3.9090,100,782,0.2612,0.005,6.516
defocus_blur,3.9090,150,782,0.2566,0.004,6.464
defocus_blur,3.9090,200,782,0.2470,0.004,6.502
defocus_blur,3.9090,250,782,0.2424,0.004,6.561
defocus_blur,3.9090,300,782,0.2359,0.004,6.554
defocus_blur,3.9090,350,782,0.2275,0.003,6.630
defocus_blur,3.9090,400,782,0.2216,0.003,6.528
defocus_blur,3.9090,450,782,0.2141,0.003,6.573
defocus_blur,3.9090,500,782,0.2082,0.003,6.634
defocus_blur,3.9090,550,782,0.2029,0.003,6.623
defocus_blur,3.9090,600,782,0.1981,0.003,6.520
defocus_blur,3.9090,650,782,0.1934,0.003,6.611
defocus_blur,3.9090,700,782,0.1886,0.003,6.611
defocus_blur,3.9090,750,782,0.1845,0.004,6.632
defocus_blur,3.9090,782,782,0.1822,0.004,6.105
glass_blur,3.4077,50,782,0.2266,0.007,6.352
glass_blur,3.4077,100,782,0.2345,0.005,6.328
glass_blur,3.4077,150,782,0.2298,0.005,6.330
glass_blur,3.4077,200,782,0.2191,0.004,6.476
glass_blur,3.4077,250,782,0.2131,0.004,6.363
glass_blur,3.4077,300,782,0.2078,0.004,6.436
glass_blur,3.4077,350,782,0.1989,0.004,6.499
glass_blur,3.4077,400,782,0.1918,0.004,6.491
glass_blur,3.4077,450,782,0.1865,0.004,6.538
glass_blur,3.4077,500,782,0.1810,0.003,6.450
glass_blur,3.4077,550,782,0.1760,0.003,6.565
glass_blur,3.4077,600,782,0.1713,0.003,6.486
glass_blur,3.4077,650,782,0.1670,0.003,6.550
glass_blur,3.4077,700,782,0.1623,0.003,6.559
glass_blur,3.4077,750,782,0.1580,0.003,6.548
glass_blur,3.4077,782,782,0.1559,0.003,6.066
motion_blur,3.3984,50,782,0.2838,0.009,6.370
motion_blur,3.3984,100,782,0.2845,0.005,6.427
motion_blur,3.3984,150,782,0.2789,0.005,6.418
motion_blur,3.3984,200,782,0.2736,0.005,6.456
motion_blur,3.3984,250,782,0.2669,0.005,6.337
motion_blur,3.3984,300,782,0.2621,0.004,6.530
